Item Id,Dublin Core:Subject,Dublin Core:Creator,Dublin Core:Identifier
93132,Mr. and Mrs. Charles Bray and Sara Sophia Hennell,George Eliot,2:166
93131,Mr. Charles Bray and Caroline [Mrs. Charles] Bray and Sara Sophia Hennell,George Eliot,1:289 - 338
93130,MR. AND MRS. CHARLES BRAY AND SARA SOPHIA HENNELL,George Eliot,1:289 - 338
93129,Mr. Charles Bray and Caroline [Mrs. Charles] Bray and Sara Sophia Hennell,George Eliot,1:289 - 338
93128,Mr. and Mrs. Charles Bray and Sara Sophia Hennell,George Eliot,2:36
93127,Mr. and Mrs. Charles Bray and Sara Sophia Hennell,George Eliot,2:58
93126,Mr. and Mrs. Charles Bray and Sara Sophia Hennell,George Eliot,2:31
93125,Mr. Charles Bray and Caroline [Mrs. Charles] Bray and Sara Sophia Hennell,George Eliot,2:9
93124,Mr. and Mrs. Charles Bray and Sara Sophia Hennell,George Eliot,2:81
93123,Mr. and Mrs. Bray,George Eliot,2:72
93122,Mr. and Mrs. Bray,George Eliot,2:63
93121,Mr. and Mrs. Bray,George Eliot,2:62
93120,Mr. and Mrs. Albert Druce,George Eliot,6:105
93119,Moncure Daniel Conway,George Eliot,4:413
93118,Mme Olga Novikoff,George Eliot,9:166
93117,Mme Louis Belloc,George Eliot,6:392
93116,Mme Louis Belloc,George Eliot,5:125
93115,Mme Louis Belloc,George Eliot,5:336
93114,Mme Louis Belloc,George Eliot,7:347
93113,Mme Francois D'albert-Durade,George Eliot,3:313
93112,Barbara [Mme Eugene] Bodichon,George Eliot,9:233
93111,Barbara [Mme Eugene] Bodichon,George Eliot,7:332
93110,Barbara [Mme Eugene] Bodichon,George Eliot,9:274
93109,Barbara [Mme Eugene] Bodichon,George Eliot,7:195
93108,Barbara [Mme Eugene] Bodichon,George Eliot,7:214
93107,Barbara [Mme Eugene] Bodichon,George Eliot,7:176
93106,Barbara [Mme Eugene] Bodichon,George Eliot,6:398
93105,Barbara [Mme Eugene] Bodichon,George Eliot,7:194
93104,Barbara [Mme Eugene] Bodichon,George Eliot,6:408
93103,Barbara [Mme Eugene] Bodichon,George Eliot,7:314
93102,Barbara [Mme Eugene] Bodichon,George Eliot,7:200
93101,Barbara [Mme Eugene] Bodichon,George Eliot,7:59
93100,Barbara [Mme Eugene] Bodichon,George Eliot,7:70
93099,Barbara [Mme Eugene] Bodichon,George Eliot,7:321
93098,Barbara [Mme Eugene] Bodichon,George Eliot,7:307
93097,Barbara [Mme Eugene] Bodichon,George Eliot,7:183
93096,Barbara [Mme Eugene] Bodichon,George Eliot,3:342
93095,Barbara [Mme Eugene] Bodichon,George Eliot,3:224
93094,Barbara [Mme Eugene] Bodichon,George Eliot,3:59
93093,Barbara [Mme Eugene] Bodichon,George Eliot,3:119
93092,Barbara [Mme Eugene] Bodichon,George Eliot,3:153
93091,Barbara [Mme Eugene] Bodichon,George Eliot,3:128
93090,Barbara [Mme Eugene] Bodichon,George Eliot,3:309
93089,Barbara [Mme Eugene] Bodichon,George Eliot,3:172
93088,Barbara [Mme Eugene] Bodichon,George Eliot,3:334
93087,Barbara [Mme Eugene] Bodichon,George Eliot,3:108
93086,Barbara [Mme Eugene] Bodichon,George Eliot,3:333
93085,Barbara [Mme Eugene] Bodichon,George Eliot,3:332
93084,Barbara [Mme Eugene] Bodichon,George Eliot,3:331
93083,Barbara [Mme Eugene] Bodichon,George Eliot,3:169
93082,Barbara [Mme Eugene] Bodichon,George Eliot,4:425
93081,Barbara [Mme Eugene] Bodichon,George Eliot,5:178
93080,Barbara [Mme Eugene] Bodichon,George Eliot,5:166
93079,Barbara [Mme Eugene] Bodichon,George Eliot,5:152
93078,Barbara [Mme Eugene] Bodichon,George Eliot,5:178
93077,Barbara [Mme Eugene] Bodichon,George Eliot,6:161
93076,Barbara [Mme Eugene] Bodichon,George Eliot,5:289
93075,Barbara [Mme Eugene] Bodichon,George Eliot,5:276
93074,Barbara [Mme Eugene] Bodichon,George Eliot,7:290
93073,Barbara [Mme Eugene] Bodichon,George Eliot,4:362
93072,Barbara [Mme Eugene] Bodichon,George Eliot,3:402
93071,Barbara [Mme Eugene] Bodichon,George Eliot,7:128
93070,Barbara [Mme Eugene] Bodichon,George Eliot,6:280
93069,Barbara [Mme Eugene] Bodichon,George Eliot,7:101
93068,Barbara [Mme Eugene] Bodichon,George Eliot,7:268
93067,Barbara [Mme Eugene] Bodichon,George Eliot,7:146
93066,Barbara [Mme Eugene] Bodichon,George Eliot,7:113
93065,Barbara [Mme Eugene] Bodichon,George Eliot,9:118
93064,Barbara [Mme Eugene] Bodichon,George Eliot,5:3
93063,Barbara [Mme Eugene] Bodichon,George Eliot,7:247
93062,Barbara [Mme Eugene] Bodichon,George Eliot,4:118
93061,Barbara [Mme Eugene] Bodichon,George Eliot,4:140
93060,Barbara [Mme Eugene] Bodichon,George Eliot,3:455
93059,Barbara [Mme Eugene] Bodichon,George Eliot,6:235
93058,Barbara [Mme Eugene] Bodichon,George Eliot,8:467
93057,Barbara [Mme Eugene] Bodichon,George Eliot,7:100
93056,Barbara [Mme Eugene] Bodichon,George Eliot,7:143
93055,Barbara [Mme Eugene] Bodichon,George Eliot,8:333
93054,Barbara [Mme Eugene] Bodichon,George Eliot,6:84
93053,Barbara [Mme Eugene] Bodichon,George Eliot,4:64
93052,Barbara [Mme Eugene] Bodichon,George Eliot,3:365
93051,Barbara [Mme Eugene] Bodichon,George Eliot,7:265
93050,Barbara [Mme Eugene] Bodichon,George Eliot,4:475
93049,Barbara [Mme Eugene] Bodichon,George Eliot,7:84
93048,Barbara [Mme Eugene] Bodichon,George Eliot,5:70
93047,Barbara [Mme Eugene] Bodichon,George Eliot,5:428
93046,Barbara [Mme Eugene] Bodichon,George Eliot,5:60
93045,Barbara [Mme Eugene] Bodichon,George Eliot,6:424
93044,Barbara [Mme Eugene] Bodichon,George Eliot,5:74
93043,Barbara [Mme Eugene] Bodichon,George Eliot,6:290
93042,Barbara [Mme Eugene] Bodichon,George Eliot,8:457
93041,Barbara [Mme Eugene] Bodichon,George Eliot,6:374
93040,Barbara [Mme Eugene] Bodichon,George Eliot,4:101
93039,Barbara [Mme Eugene] Bodichon,George Eliot,4:351
93038,Barbara [Mme Eugene] Bodichon,George Eliot,4:367
93037,Barbara [Mme Eugene] Bodichon,George Eliot,7:5
93036,Barbara [Mme Eugene] Bodichon,George Eliot,5:73
93035,Barbara [Mme Eugene] Bodichon,George Eliot,6:90
93034,Barbara [Mme Eugene] Bodichon,George Eliot,4:487
93033,Barbara [Mme Eugene] Bodichon,George Eliot,6:373
93032,Barbara [Mme Eugene] Bodichon,George Eliot,6:369
93031,Barabara [Mme Eugene] Bodichon,George Eliot,6:251
93030,Barbara [Mme Eugene] Bodichon,George Eliot,7:15
93029,Barbara [Mme Eugene] Bodichon,George Eliot,8:358
93028,Barbara [Mme Eugene] Bodichon,George Eliot,4:12
93027,Barbara [Mme Eugene] Bodichon,George Eliot,6:185
93026,Barbara [Mme Eugene] Bodichon,George Eliot,4:84
93025,Barbara [Mme Eugene] Bodichon,George Eliot,4:493
93024,Barbara [Mme Eugene] Bodichon,George Eliot,8:320
93023,Barbara [Mme Eugene] Bodichon,George Eliot,5:457
93022,Barbara [Mme Eugene] Bodichon,George Eliot,4:20
93021,Barbara [Mme Eugene] Bodichon,George Eliot,3:388
93020,Barbara [Mme Eugene] Bodichon,George Eliot,8:459
93019,Barbara [Mme Eugene] Bodichon,George Eliot,5:117
93018,Barbara [Mme Eugene] Bodichon,George Eliot,4:236
93017,Barbara [Mme Eugene] Bodichon,George Eliot,9:183
93016,Barbara [Mme Eugene] Bodichon,George Eliot,8:428
93015,Barbara [Mme Eugene] Bodichon,George Eliot,8:406
93014,Barbara [Mme Eugene] Bodichon,George Eliot,5:123
93013,Barbara [Mme Eugene] Bodichon,George Eliot,9:81
93012,Barbara [Mme Eugene] Bodichon,George Eliot,6:13
93011,Barbara [Mme Eugene] Bodichon,George Eliot,8:474
93010,Barbara [Mme Eugene] Bodichon,George Eliot,9:87
93009,Barbara [Mme Eugene] Bodichon,George Eliot,8:349
93008,Barbara [Mme Eugene] Bodichon,George Eliot,3:461
93007,Barbara [Mme Eugene] Bodichon,George Eliot,4:377
93006,Barbara [Mme Eugene] Bodichon,George Eliot,8:348
93005,Barbara [Mme Eugene] Bodichon,George Eliot,9:64
93004,Barbara [Mme Eugene] Bodichon,George Eliot,8:301
93003,Barbara [Mme Eugene] Bodichon,George Eliot,9:32
93002,Barbara [Mme Eugene] Bodichon,George Eliot,8:346
93001,Barbara [Mme Eugene] Bodichon,George Eliot,3:447
93000,Barbara [Mme Eugene] Bodichon,George Eliot,4:167
92999,Barbara [Mme Eugene] Bodichon,George Eliot,5:45
92998,Barbara [Mme Eugene] Bodichon,George Eliot,4:399
92997,Barbara [Mme Eugene] Bodichon,George Eliot,7:24
92996,Barbara [Mme Eugene] Bodichon,George Eliot,8:471
92995,Barbara [Mme Eugene] Bodichon,George Eliot,8:490
92994,Barbara [Mme Eugene] Bodichon,George Eliot,5:36
92993,Barbara [Mme Eugene] Bodichon,George Eliot,5:44
92992,Barbara [Mme Eugene] Bodichon,George Eliot,5:35
92991,Barbara [Mme Eugene] Bodichon,George Eliot,5:77
92990,Barbara [Mme Eugene] Bodichon,George Eliot,7:254
92989,Barbara [Mme Eugene] Bodichon,George Eliot,8:471
92988,Barbara [Mme Eugene] Bodichon,George Eliot,5:113
92987,Barbara [Mme Eugene] Bodichon,George Eliot,6:82
92986,Barbara [Mme Eugene] Bodichon,George Eliot,6:69
92985,Barbara [Mme Eugene] Bodichon,George Eliot,5:104
92984,Barbara [Mme Eugene] Bodichon,George Eliot,3:142
92983,Barbara [Mme Eugene] Bodichon,George Eliot,4:329
92982,Barbara [Mme Eugene] Bodichon,George Eliot,4:338
92981,Barbara [Mme Eugene] Bodichon,George Eliot,3:123
92980,Barbara [Mme Eugene] Bodichon,George Eliot,3:271
92979,Barbara [Mme Eugene] Bodichon,George Eliot,8:239
92978,Barbara [Mme Eugene] Bodichon,George Eliot,5:181
92977,Barbara [Mme Eugene] Bodichon,George Eliot,8:310
92976,Barbara [Mme Eugene] Bodichon,George Eliot,7:93
92975,Barbara [Mme Eugene] Bodichon,George Eliot,9:187
92974,Barbara [Mme Eugene] Bodichon,George Eliot,8:288
92973,Barbara [Mme Eugene] Bodichon,George Eliot,5:467
92972,Barbara [Mme Eugene] Bodichon,George Eliot,9:8
92971,Barbara [Mme Eugene] Bodichon,George Eliot,9:11
92970,Barbara [Mme Eugene] Bodichon,George Eliot,8:329
92969,Mme Eug'e9ne Bodichon,George Eliot,8:489
92968,Miss Mary Marshall,George Eliot,4:88
92967,Miss Charlotte Carmichael,George Eliot,6:438
92966,Miss Beneke,George Eliot,9:300
92965,Messrs. W. Blackwood and Sons,George Eliot,2:494
92964,Maud Lewes,George Eliot,7:65
92963,Matilda Betham Edwards,George Eliot,5:233
92962,"Mary, Eleanor and Florence Cross",George Eliot,7:296
92961,Mary Sibree,George Eliot,1:223 - 285
92960,Mary Sibree,George Eliot,8:11
92959,Mary Sibree,George Eliot,1:341 - 378
92958,Mary Sibree,George Eliot,1:223 - 285
92957,Mary Sibree,George Eliot,8:11
92956,Mary Sibree,George Eliot,8:10
92955,Mary Sibree,George Eliot,8:10
92954,Mary Sibree,George Eliot,8:15
92953,Mary Sibree,George Eliot,8:10
92952,Mary Marshall,George Eliot,4:170
92951,Mary Marshall,George Eliot,8:314
92950,Mary Marshall,George Eliot,4:145
92949,Mary Marshall,George Eliot,8:355
92948,Mary Marshall,George Eliot,4:181
92947,Mary Finlay Cross,George Eliot,7:218
92946,Mary Finlay Cross,George Eliot,5:171
92945,Mary Finlay Cross,George Eliot,7:278
92944,Mary Finlay Cross,George Eliot,7:246
92943,Mary Finlay Cross,George Eliot,6:47
92942,Mary Finlay Cross,George Eliot,7:246
92941,Mary Dickens,George Eliot,6:234
92940,Mary A. Ewart,George Eliot,9:294
92939,Mary [Sibree],George Eliot,1:341 - 378
92938,Martha Jackson,George Eliot,8:7
92937,Martha Jackson,George Eliot,1:289 - 338
92936,Martha Jackson,George Eliot,1:3-86
92935,Martha Jackson,George Eliot,1:3-86
92934,Martha Jackson,George Eliot,8:5
92933,Martha Jackson,George Eliot,1:3-86
92932,Martha Jackson,George Eliot,1:3-86
92931,Martha Jackson,George Eliot,1:3-86
92930,Martha Jackson,George Eliot,1:3-86
92929,Martha Jackson,George Eliot,1:89 - 168
92928,Martha Jackson,George Eliot,1:171 - 219
92927,Martha Jackson,George Eliot,1:89 - 168
92926,Martha Jackson,George Eliot,1:89 - 168
92925,Martha Jackson,George Eliot,1:171 - 219
92924,Martha Jackson,George Eliot,1:89 - 168
92923,Martha Jackson,George Eliot,1:89 - 168
92922,Martha Jackson,George Eliot,1:89 - 168
92921,Martha Jackson,George Eliot,1:3-86
92920,Martha Jackson,George Eliot,1:3-86
92919,Martha Jackson,George Eliot,1:89 - 168
92918,Martha Jackson,George Eliot,1:89 - 168
92917,Maria Lewis,George Eliot,1:3-86
92916,Maria Lewis,George Eliot,1:3-86
92915,Maria Lewis,George Eliot,1:3-86
92914,Maria Lewis,George Eliot,1:3-86
92913,Maria Lewis,George Eliot,1:3-86
92912,Maria Lewis,George Eliot,1:3-86
92911,Maria Lewis,George Eliot,1:3-86
92910,Maria Lewis,George Eliot,1:3-86
92909,Maria Lewis,George Eliot,1:3-86
92908,Maria Lewis,George Eliot,1:3-86
92907,Maria Lewis,George Eliot,1:3-86
92906,Maria Lewis,George Eliot,1:3-86
92905,Maria Lewis,George Eliot,1:3-86
92904,Maria Lewis,George Eliot,1:3-86
92903,Maria Lewis,George Eliot,1:3-86
92902,Maria Lewis,George Eliot,1:3-86
92901,Maria Lewis,George Eliot,1:3-86
92900,Maria Lewis,George Eliot,1:3-86
92899,Maria Lewis,George Eliot,1:3-86
92898,Maria Lewis,George Eliot,1:3-86
92897,Maria Lewis,George Eliot,1:3-86
92896,Maria Lewis,George Eliot,1:3-86
92895,Maria Lewis,George Eliot,1:3-86
92894,Maria Lewis,George Eliot,1:3-86
92893,Maria Lewis,George Eliot,1:3-86
92892,Maria Lewis,George Eliot,1:3-86
92891,Maria Lewis,George Eliot,1:3-86
92890,Maria Lewis,George Eliot,1:3-86
92889,Maria Lewis,George Eliot,1:3-86
92888,Maria Lewis,George Eliot,1:3-86
92887,Maria Lewis,George Eliot,1:89 - 168
92886,Maria Lewis,George Eliot,1:89 - 168
92885,Maria Lewis,George Eliot,1:89 - 168
92884,Maria Lewis,George Eliot,1:89 - 168
92883,Maria Lewis,George Eliot,1:89 - 168
92882,Maria Lewis,George Eliot,1:89 - 168
92881,Maria Lewis,George Eliot,1:89 - 168
92880,Maria Lewis,George Eliot,1:89 - 168
92879,Maria Lewis,George Eliot,1:89 - 168
92878,Maria Lewis,George Eliot,1:89 - 168
92877,Maria Lewis,George Eliot,1:89 - 168
92876,Maria Lewis,George Eliot,1:89 - 168
92875,Maria Lewis,George Eliot,1:89 - 168
92874,Maria Lewis,George Eliot,1:89 - 168
92873,Maria Lewis,George Eliot,1:89 - 168
92872,Maria Lewis,George Eliot,1:89 - 168
92871,Maria Lewis,George Eliot,1:89 - 168
92870,Maria Lewis,George Eliot,1:89 - 168
92869,Maria Lewis,George Eliot,1:89 - 168
92868,Maria Lewis,George Eliot,1:89 - 168
92867,Maria Lewis,George Eliot,1:3-86
92866,Maria Lewis,George Eliot,1:89 - 168
92865,M. Harris,George Eliot,5:408
92864,Lord Hough,George Eliot,7:19
92863,Lord Hough,George Eliot,8:473
92862,Lord Hough,George Eliot,9:92
92861,Leslie Stephen,George Eliot,7:3
92860,Lady Thompson,George Eliot,9:230
92859,Lady Strangford,George Eliot,5:455
92858,Lady Lyt,George Eliot,9:119
92857,Lady Holland,George Eliot,9:304
92856,Lady Amberley,George Eliot,8:477
92855,Kate Field,George Eliot,5:272
92854,Julia Wedgwood,George Eliot,8:470
92853,Joseph Munt Langford,George Eliot,7:219
92852,Joseph Munt Langford,George Eliot,3:173
92851,Joseph Munt Langford,George Eliot,3:182
92850,Joseph Munt Langford,George Eliot,3:180
92849,Joseph Munt Langford,George Eliot,6:45
92848,Joseph Munt Langford,George Eliot,6:5
92847,Joseph Munt Langford,George Eliot,6:44
92846,Joseph Munt Langford,George Eliot,3:393
92845,Joseph Munt Langford,George Eliot,6:435
92844,Joseph Munt Langford,George Eliot,4:121
92843,Joseph Munt Langford,George Eliot,9:94
92842,Joseph Munt Langford,George Eliot,4:491
92841,Joseph M. Langford,George Eliot,6:390
92840,Joseph Langford,George Eliot,7:229
92839,John Walter Cross,George Eliot,7:62
92838,John Walter Cross,George Eliot,7:211
92837,John Walter Cross,George Eliot,6:164
92836,John Walter Cross,George Eliot,7:101
92835,John Walter Cross,George Eliot,6:415
92834,John Walter Cross,George Eliot,6:258
92833,John Walter Cross,George Eliot,9:226
92832,John Walter Cross,George Eliot,7:234
92831,John Walter Cross,George Eliot,7:107
92830,John Walter Cross,George Eliot,7:107
92829,John Walter Cross,George Eliot,6:432
92828,John Walter Cross,George Eliot,6:6
92827,John Walter Cross,George Eliot,5:340
92826,John Walter Cross,George Eliot,6:134
92825,John Walter Cross,George Eliot,7:99
92824,John Walter Cross,George Eliot,6:337
92823,John Walter Cross,George Eliot,7:97
92822,John Walter Cross,George Eliot,7:138
92821,John Walter Cross,George Eliot,6:59
92820,John Walter Cross,George Eliot,5:447
92819,John Stuart Blackie,George Eliot,3:246
92818,"John Sibree, Jr.",George Eliot,1:223 - 285
92817,"John Sibree, Jr.",George Eliot,1:223 - 285
92816,"John Sibree, Jr.",George Eliot,1:223 - 285
92815,"John Sibree, Jr.",George Eliot,8:16
92814,"John Sibree, Jr.",George Eliot,1:223 - 285
92813,John Sibree,George Eliot,1:171 - 219
92812,John Morley,George Eliot,4:364
92811,John Morley,George Eliot,8:402
92810,John Hollingshead,George Eliot,5:384
92809,John Gwyther,George Eliot,3:85
92808,John Chapman,George Eliot,8:115
92807,John Chapman,George Eliot,2:180
92806,John Chapman,George Eliot,2:172
92805,John Chapman,George Eliot,2:174
92804,John Chapman,George Eliot,8:123
92803,John Chapman,George Eliot,2:111
92802,John Chapman,George Eliot,2:257
92801,John Chapman,George Eliot,2:258
92800,John Chapman,George Eliot,2:494
92799,John Chapman,George Eliot,3:3
92798,John Chapman,George Eliot,2:385
92797,John Chapman,George Eliot,8:177
92796,John Chapman,George Eliot,2:426
92795,John Chapman,George Eliot,2:420
92794,John Chapman,George Eliot,3:3
92793,John Chapman,George Eliot,2:198
92792,John Chapman,George Eliot,2:130
92791,John Chapman,George Eliot,2:133
92790,John Chapman,George Eliot,8:171
92789,John Chapman,George Eliot,2:208
92788,John Chapman,George Eliot,2:205
92787,John Chapman,George Eliot,2:196
92786,"John Chapman,",George Eliot,1:341 - 378
92785,John Chapman,George Eliot,8:23
92784,John Chapman,George Eliot,1:341 - 378
92783,John Chapman,George Eliot,1:341 - 378
92782,John Chapman,George Eliot,1:341 - 378
92781,John Chapman,George Eliot,8:28
92780,John Chapman,George Eliot,1:341 - 378
92779,John Chapman,George Eliot,1:341 - 378
92778,John Chapman,George Eliot,8:24
92777,John Chapman,George Eliot,1:341 - 378
92776,John Chapman,George Eliot,2:63
92775,John Chapman,George Eliot,2:47
92774,John Chapman,George Eliot,1:341 - 378
92773,John Chapman,George Eliot,8:133
92772,John Chapman,George Eliot,2:190
92771,John Chapman,George Eliot,8:131
92770,John Chapman,George Eliot,8:63
92769,John Chapman,George Eliot,2:100
92768,John Chapman,George Eliot,2:132
92767,John Chapman,George Eliot,1:341 - 378
92766,John Chapman,George Eliot,8:54
92765,John Burnell Payne,George Eliot,5:12
92764,John Blockley,George Eliot,8:425
92763,John Blackwood,George Eliot,7:206
92762,John Blackwood,George Eliot,7:45
92761,John Blackwood,George Eliot,7:173
92760,John Blackwood,George Eliot,7:32
92759,John Blackwood,George Eliot,7:67
92758,John Blackwood,George Eliot,7:170
92757,John Blackwood,George Eliot,7:182
92756,John Blackwood,George Eliot,3:151
92755,John Blackwood,George Eliot,3:317
92754,John Blackwood,George Eliot,3:78
92753,John Blackwood,George Eliot,3:245
92752,John Blackwood,George Eliot,3:217
92751,John Blackwood,George Eliot,3:124
92750,John Blackwood,George Eliot,3:312
92749,John Blackwood,George Eliot,3:240
92748,John Blackwood,George Eliot,3:267
92747,John Blackwood,George Eliot,3:191
92746,John Blackwood,George Eliot,3:339
92745,John Blackwood,George Eliot,3:215
92744,John Blackwood,George Eliot,3:118
92743,John Blackwood,George Eliot,3:264
92742,John Blackwood,George Eliot,3:161
92741,John Blackwood,George Eliot,3:278
92740,John Blackwood,George Eliot,3:69
92739,John Blackwood,George Eliot,3:236
92738,John Blackwood,George Eliot,3:34
92737,John Blackwood,George Eliot,3:132
92736,John Blackwood,George Eliot,3:184
92735,John Blackwood,George Eliot,3:132
92734,John Blackwood,George Eliot,3:248
92733,John Blackwood,George Eliot,3:75
92732,John Blackwood,George Eliot,3:224
92731,John Blackwood,George Eliot,4:426
92730,John Blackwood,George Eliot,4:428
92729,John Blackwood,George Eliot,4:428
92728,John Blackwood,George Eliot,4:457
92727,John Blackwood,George Eliot,5:168
92726,John Blackwood,George Eliot,5:164
92725,John Blackwood,George Eliot,4:276
92724,John Blackwood,George Eliot,5:23
92723,John Blackwood,George Eliot,3:284
92722,John Blackwood,George Eliot,2:418
92721,John Blackwood,George Eliot,2:373
92720,John Blackwood,George Eliot,2:480
92719,John Blackwood,George Eliot,2:399
92718,John Blackwood,George Eliot,2:493
92717,John Blackwood,George Eliot,3:6
92716,John Blackwood,George Eliot,2:482
92715,John Blackwood,George Eliot,2:395
92714,John Blackwood,George Eliot,2:512
92713,John Blackwood,George Eliot,2:442
92712,John Blackwood,George Eliot,2:499
92711,John Blackwood,George Eliot,2:509
92710,John Blackwood,George Eliot,2:424
92709,John Blackwood,George Eliot,2:298
92708,John Blackwood,George Eliot,2:387
92707,John Blackwood,George Eliot,2:413
92706,John Blackwood,George Eliot,2:433
92705,John Blackwood,George Eliot,2:411
92704,John Blackwood,George Eliot,2:508
92703,John Blackwood,George Eliot,2:303
92702,John Blackwood,George Eliot,2:505
92701,John Blackwood,George Eliot,8:201
92700,John Blackwood,George Eliot,5:296
92699,John Blackwood,George Eliot,6:265
92698,John Blackwood,George Eliot,8:289
92697,John Blackwood,George Eliot,4:396
92696,John Blackwood,George Eliot,7:130
92695,John Blackwood,George Eliot,5:81
92694,John Blackwood,George Eliot,6:122
92693,John Blackwood,George Eliot,4:403
92692,John Blackwood,George Eliot,4:305
92691,John Blackwood,George Eliot,6:25
92690,John Blackwood,George Eliot,4:76
92689,John Blackwood,George Eliot,6:414
92688,John Blackwood,George Eliot,5:453
92687,John Blackwood,George Eliot,4:436
92686,John Blackwood,George Eliot,7:110
92685,John Blackwood,George Eliot,5:51
92684,John Blackwood,George Eliot,7:126
92683,John Blackwood,George Eliot,8:337
92682,John Blackwood,George Eliot,3:385
92681,John Blackwood,George Eliot,4:294
92680,John Blackwood,George Eliot,3:396
92679,John Blackwood,George Eliot,4:500
92678,John Blackwood,George Eliot,4:366
92677,John Blackwood,George Eliot,3:394
92676,John Blackwood,George Eliot,4:463
92675,John Blackwood,George Eliot,6:335
92674,John Blackwood,George Eliot,4:412
92673,John Blackwood,George Eliot,4:251
92672,John Blackwood,George Eliot,6:303
92671,John Blackwood,George Eliot,5:361
92670,John Blackwood,George Eliot,5:208
92669,John Blackwood,George Eliot,6:358
92668,John Blackwood,George Eliot,4:432
92667,John Blackwood,George Eliot,4:462
92666,John Blackwood,George Eliot,7:98
92665,John Blackwood,George Eliot,5:380
92664,John Blackwood,George Eliot,4:18
92663,John Blackwood,George Eliot,3:384
92662,John Blackwood,George Eliot,3:351
92661,John Blackwood,George Eliot,4:247
92660,John Blackwood,George Eliot,7:10
92659,John Blackwood,George Eliot,8:290
92658,John Blackwood,George Eliot,7:83
92657,John Blackwood,George Eliot,7:108
92656,John Blackwood,George Eliot,6:222
92655,John Blackwood,George Eliot,5:378
92654,John Blackwood,George Eliot,4:243
92653,John Blackwood,George Eliot,4:459
92652,John Blackwood,George Eliot,3:382
92651,John Blackwood,George Eliot,5:429
92650,John Blackwood,George Eliot,7:80
92649,John Blackwood,George Eliot,7:141
92648,John Blackwood,George Eliot,4:62
92647,John Blackwood,George Eliot,6:422
92646,John Blackwood,George Eliot,7:119
92645,John Blackwood,George Eliot,5:17
92644,John Blackwood,George Eliot,4:15
92643,John Blackwood,George Eliot,8:392
92642,John Blackwood,George Eliot,4:480
92641,John Blackwood,George Eliot,9:112
92640,John Blackwood,George Eliot,4:354
92639,John Blackwood,George Eliot,5:249
92638,John Blackwood,George Eliot,5:402
92637,John Blackwood,George Eliot,4:430
92636,John Blackwood,George Eliot,4:443
92635,John Blackwood,George Eliot,6:350
92634,John Blackwood,George Eliot,6:21
92633,John Blackwood,George Eliot,6:274
92632,John Blackwood,George Eliot,6:87
92631,John Blackwood,George Eliot,4:313
92630,John Blackwood,George Eliot,3:356
92629,John Blackwood,George Eliot,7:145
92628,John Blackwood,George Eliot,6:37
92627,John Blackwood,George Eliot,4:34
92626,John Blackwood,George Eliot,5:15
92625,John Blackwood,George Eliot,4:391
92624,John Blackwood,George Eliot,6:187
92623,John Blackwood,George Eliot,8:292
92622,John Blackwood,George Eliot,4:349
92621,John Blackwood,George Eliot,5:236
92620,John Blackwood,George Eliot,6:240
92619,John Blackwood,George Eliot,8:292
92618,John Blackwood,George Eliot,7:136
92617,John Blackwood,George Eliot,4:374
92616,John Blackwood,George Eliot,4:373
92615,John Blackwood,George Eliot,3:440
92614,John Blackwood,George Eliot,3:377
92613,John Blackwood,George Eliot,6:198
92612,John Blackwood,George Eliot,5:387
92611,John Blackwood,George Eliot,5:256
92610,John Blackwood,George Eliot,4:319
92609,John Blackwood,George Eliot,3:389
92608,John Blackwood,George Eliot,7:93
92607,John Blackwood,George Eliot,5:458
92606,John Blackwood,George Eliot,4:370
92605,John Blackwood,George Eliot,4:6
92604,John Blackwood,George Eliot,3:371
92603,John Blackwood,George Eliot,4:492
92602,John Blackwood,George Eliot,4:407
92601,John Blackwood,George Eliot,4:308
92600,John Blackwood,George Eliot,9:138
92599,John Blackwood,George Eliot,5:34
92598,John Blackwood,George Eliot,3:387
92597,John Blackwood,George Eliot,6:171
92596,John Blackwood,George Eliot,6:181
92595,John Blackwood,George Eliot,5:231
92594,John Blackwood,George Eliot,4:3
92593,John Blackwood,George Eliot,3:369
92592,John Blackwood,George Eliot,5:334
92591,John Blackwood,George Eliot,4:414
92590,John Blackwood,George Eliot,6:232
92589,John Blackwood,George Eliot,3:405
92588,John Blackwood,George Eliot,8:278
92587,John Blackwood,George Eliot,5:314
92586,John Blackwood,George Eliot,3:392
92585,John Blackwood,George Eliot,3:390
92584,John Blackwood,George Eliot,4:347
92583,John Blackwood,George Eliot,2:335
92582,John Blackwood,George Eliot,2:353
92581,John Blackwood,George Eliot,2:361
92580,John Blackwood,George Eliot,2:347
92579,John Blackwood,George Eliot,3:416
92578,John Blackwood,George Eliot,3:293
92577,John Blackwood,George Eliot,6:75
92576,John Blackwood,George Eliot,6:56
92575,John Blackwood,George Eliot,4:290
92574,John Blackwood,George Eliot,5:441
92573,John Blackwood,George Eliot,3:40
92572,John Blackwood,George Eliot,3:60
92571,John Blackwood,George Eliot,3:254
92570,John Blackwood,George Eliot,3:25
92569,John Blackwood,George Eliot,3:23
92568,John Blackwood,George Eliot,3:72
92567,John Blackwood,George Eliot,3:53
92566,John Blackwood,George Eliot,3:13
92565,John Blackwood,George Eliot,3:43
92564,John Blackwood,George Eliot,3:105
92563,John Blackwood,George Eliot,3:102
92562,John Blackwood,George Eliot,2:325
